HEP_Code,Institution_raw,Year,Cohort,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_lt5,Institution_canonical,total_completions
3032,Griffith University,2023,IRU,294.0,51.0,345.0,False,Griffith University,9305.0
1019,James Cook University,2023,IRU,99.0,20.0,119.0,False,James Cook University,4612.0
3020,La Trobe University,2023,IRU,184.0,58.0,242.0,False,La Trobe University,8075.0
3025,Macquarie University,2023,non-aligned,268.0,247.0,515.0,False,Macquarie University,8574.0
3035,Monash University,2023,Go8,968.0,55.0,1023.0,False,Monash University,23134.0
1034,Murdoch University,2023,IRU,92.0,43.0,135.0,False,Murdoch University,4666.0
3042,Queensland University of Technology,2023,non-aligned,285.0,95.0,380.0,False,Queensland University of Technology,10535.0
3034,Royal Melbourne Institute of Technology,2023,ATN,400.0,35.0,435.0,False,Royal Melbourne Institute of Technology,17944.0
3038,Southern Cross University,2023,RUN,42.0,11.0,53.0,False,Southern Cross University,4192.0
2177,Swinburne University of Technology,2023,non-aligned,226.0,24.0,250.0,False,Swinburne University of Technology,8491.0
3033,The Australian National University,2023,Go8,377.0,26.0,403.0,False,The Australian National University,6371.0
3010,The University of Adelaide,2023,Go8,326.0,60.0,386.0,False,The University of Adelaide,7377.0
3036,The University of Melbourne,2023,Go8,764.0,96.0,860.0,False,The University of Melbourne,22194.0
3044,The University of Notre Dame Australia,2023,non-aligned,17.0,16.0,33.0,False,The University of Notre Dame Australia,2401.0
3019,The University of Queensland,2023,Go8,741.0,56.0,797.0,False,The University of Queensland,13850.0
3040,The University of Sydney,2023,Go8,780.0,163.0,943.0,False,The University of Sydney,20718.0
1055,The University of Western Australia,2023,Go8,335.0,38.0,373.0,False,The University of Western Australia,6427.0
4449,Torrens University Australia,2023,non-aligned,2.0,2.0,4.0,True,Torrens University Australia,4702.0
2241,University of Canberra,2023,IRU,77.0,7.0,84.0,False,University of Canberra,3906.0
4331,University of Divinity,2023,non-aligned,7.0,0.0,7.0,False,University of Divinity,448.0
3039,University of New England,2023,RUN,75.0,15.0,90.0,False,University of New England,3556.0
3013,University of New South Wales,2023,Go8,717.0,84.0,801.0,False,University of New South Wales,18433.0
3014,University of Newcastle,2023,ATN,229.0,8.0,237.0,False,University of Newcastle,7475.0
3027,University of South Australia,2023,ATN,137.0,36.0,173.0,False,University of South Australia,7212.0
2201,University of Southern Queensland,2023,RUN,102.0,34.0,136.0,False,University of Southern Queensland,3756.0
3045,University of Tasmania,2023,non-aligned,233.0,10.0,243.0,False,University of Tasmania,9103.0
3016,University of Technology Sydney,2023,ATN,341.0,23.0,364.0,False,University of Technology Sydney,10453.0
3043,University of the Sunshine Coast,2023,RUN,63.0,8.0,71.0,False,University of the Sunshine Coast,3111.0
1058,University of Wollongong,2023,non-aligned,218.0,24.0,242.0,False,University of Wollongong,7311.0
3007,Victoria University,2023,non-aligned,61.0,24.0,85.0,False,Victoria University,10514.0
3004,Western Sydney University,2023,IRU,193.0,84.0,277.0,False,Western Sydney University,9328.0
3006,Australian Catholic University,2022,non-aligned,36.0,2.0,38.0,True,Australian Catholic University,7423.0
2252,Avondale University ,2022,non-aligned,2.0,0.0,2.0,True,Avondale University ,268.0
2246,Batchelor Institute of Indigenous Tertiary Education,2022,non-aligned,0.0,0.0,0.0,False,Batchelor Institute of Indigenous Tertiary Education,
3003,Bond University ,2022,non-aligned,27.0,5.0,32.0,False,Bond University ,1545.0
2200,Central Queensland University,2022,RUN,37.0,22.0,59.0,False,Central Queensland University,4096.0
3001,Charles Darwin University,2022,non-aligned,46.0,2.0,48.0,True,Charles Darwin University,2314.0
3005,Charles Sturt University,2022,RUN,61.0,2.0,63.0,True,Charles Sturt University,8455.0
2236,Curtin University,2022,ATN,265.0,38.0,303.0,False,Curtin University,10225.0
3030,Deakin University,2022,ATN,297.0,21.0,318.0,False,Deakin University,13562.0
2235,Edith Cowan University,2022,non-aligned,88.0,41.0,129.0,False,Edith Cowan University,6398.0
2154,Federation University Australia,2022,RUN,39.0,2.0,41.0,True,Federation University Australia,3071.0
3029,Flinders University,2022,IRU,125.0,7.0,132.0,False,Flinders University,5876.0
3032,Griffith University,2022,IRU,269.0,54.0,323.0,False,Griffith University,10331.0
1019,James Cook University,2022,IRU,110.0,17.0,127.0,False,James Cook University,4807.0
3020,La Trobe University,2022,IRU,197.0,84.0,281.0,False,La Trobe University,8328.0
3025,Macquarie University,2022,non-aligned,209.0,272.0,481.0,False,Macquarie University,9048.0
3035,Monash University,2022,Go8,898.0,60.0,958.0,False,Monash University,24217.0
1034,Murdoch University,2022,IRU,111.0,39.0,150.0,False,Murdoch University,4857.0
3042,Queensland University of Technology,2022,non-aligned,328.0,86.0,414.0,False,Queensland University of Technology,11361.0
3034,Royal Melbourne Institute of Technology,2022,ATN,349.0,35.0,384.0,False,Royal Melbourne Institute of Technology,18671.0
3038,Southern Cross University,2022,RUN,37.0,8.0,45.0,False,Southern Cross University,4183.0
2177,Swinburne University of Technology,2022,non-aligned,223.0,32.0,255.0,False,Swinburne University of Technology,7616.0
3033,The Australian National University,2022,Go8,324.0,37.0,361.0,False,The Australian National University,6837.0
3010,The University of Adelaide,2022,Go8,378.0,61.0,439.0,False,The University of Adelaide,7260.0
3036,The University of Melbourne,2022,Go8,670.0,64.0,734.0,False,The University of Melbourne,21630.0
3044,The University of Notre Dame Australia,2022,non-aligned,24.0,18.0,42.0,False,The University of Notre Dame Australia,2730.0
3019,The University of Queensland,2022,Go8,710.0,57.0,767.0,False,The University of Queensland,13930.0
3040,The University of Sydney,2022,Go8,639.0,178.0,817.0,False,The University of Sydney,21113.0
1055,The University of Western Australia,2022,Go8,321.0,28.0,349.0,False,The University of Western Australia,6376.0
4449,Torrens University Australia,2022,non-aligned,10.0,2.0,12.0,True,Torrens University Australia,5765.0
2241,University of Canberra,2022,IRU,48.0,5.0,53.0,False,University of Canberra,3801.0
4331,University of Divinity,2022,non-aligned,13.0,0.0,13.0,False,University of Divinity,392.0
3039,University of New England,2022,RUN,79.0,13.0,92.0,False,University of New England,3650.0
3013,University of New South Wales,2022,Go8,690.0,97.0,787.0,False,University of New South Wales,17938.0
3014,University of Newcastle,2022,ATN,284.0,12.0,296.0,False,University of Newcastle,7746.0
3027,University of South Australia,2022,ATN,119.0,37.0,156.0,False,University of South Australia,7494.0
2201,University of Southern Queensland,2022,RUN,117.0,20.0,137.0,False,University of Southern Queensland,3721.0
3045,University of Tasmania,2022,non-aligned,222.0,17.0,239.0,False,University of Tasmania,12502.0
3016,University of Technology Sydney,2022,ATN,313.0,37.0,350.0,False,University of Technology Sydney,11273.0
3043,University of the Sunshine Coast,2022,RUN,56.0,6.0,62.0,False,University of the Sunshine Coast,2940.0
1058,University of Wollongong,2022,non-aligned,219.0,35.0,254.0,False,University of Wollongong,7279.0
3007,Victoria University,2022,non-aligned,77.0,24.0,101.0,False,Victoria University,5629.0
3004,Western Sydney University,2022,IRU,127.0,67.0,194.0,False,Western Sydney University,11804.0
3006,Australian Catholic University,2021,non-aligned,36.0,5.0,41.0,False,Australian Catholic University,7243.0
2252,Avondale University ,2021,non-aligned,0.0,2.0,2.0,True,Avondale University ,258.0
2246,Batchelor Institute of Indigenous Tertiary Education,2021,non-aligned,2.0,0.0,2.0,True,Batchelor Institute of Indigenous Tertiary Education,2.0
3003,Bond University ,2021,non-aligned,31.0,2.0,33.0,True,Bond University ,1796.0
2200,Central Queensland University,2021,RUN,34.0,8.0,42.0,False,Central Queensland University,5269.0
3001,Charles Darwin University,2021,non-aligned,45.0,5.0,50.0,False,Charles Darwin University,2350.0
3005,Charles Sturt University,2021,RUN,52.0,6.0,58.0,False,Charles Sturt University,9526.0
2236,Curtin University,2021,ATN,277.0,56.0,333.0,False,Curtin University,10076.0
3030,Deakin University,2021,ATN,282.0,25.0,307.0,False,Deakin University,16286.0
2235,Edith Cowan University,2021,non-aligned,66.0,34.0,100.0,False,Edith Cowan University,7539.0
2154,Federation University Australia,2021,RUN,46.0,2.0,48.0,True,Federation University Australia,4244.0
3029,Flinders University,2021,IRU,165.0,6.0,171.0,False,Flinders University,7217.0
3032,Griffith University,2021,IRU,280.0,48.0,328.0,False,Griffith University,11141.0
1019,James Cook University,2021,IRU,102.0,6.0,108.0,False,James Cook University,5163.0
3020,La Trobe University,2021,IRU,169.0,52.0,221.0,False,La Trobe University,9505.0
3025,Macquarie University,2021,non-aligned,297.0,231.0,528.0,False,Macquarie University,10121.0
3035,Monash University,2021,Go8,808.0,62.0,870.0,False,Monash University,25591.0
1034,Murdoch University,2021,IRU,91.0,25.0,116.0,False,Murdoch University,5328.0
3042,Queensland University of Technology,2021,non-aligned,323.0,120.0,443.0,False,Queensland University of Technology,12200.0
3034,Royal Melbourne Institute of Technology,2021,ATN,340.0,37.0,377.0,False,Royal Melbourne Institute of Technology,19190.0
3038,Southern Cross University,2021,RUN,48.0,8.0,56.0,False,Southern Cross University,4117.0
2177,Swinburne University of Technology,2021,non-aligned,191.0,25.0,216.0,False,Swinburne University of Technology,8225.0
3033,The Australian National University,2021,Go8,352.0,32.0,384.0,False,The Australian National University,6768.0
3010,The University of Adelaide,2021,Go8,313.0,63.0,376.0,False,The University of Adelaide,8065.0
3036,The University of Melbourne,2021,Go8,663.0,65.0,728.0,False,The University of Melbourne,22097.0
3044,The University of Notre Dame Australia,2021,non-aligned,34.0,24.0,58.0,False,The University of Notre Dame Australia,2261.0
3019,The University of Queensland,2021,Go8,621.0,51.0,672.0,False,The University of Queensland,14952.0
3040,The University of Sydney,2021,Go8,661.0,163.0,824.0,False,The University of Sydney,22376.0
1055,The University of Western Australia,2021,Go8,277.0,34.0,311.0,False,The University of Western Australia,6510.0
4449,Torrens University Australia,2021,non-aligned,2.0,2.0,4.0,True,Torrens University Australia,5890.0
2241,University of Canberra,2021,IRU,55.0,6.0,61.0,False,University of Canberra,3847.0
4331,University of Divinity,2021,non-aligned,9.0,2.0,11.0,True,University of Divinity,346.0
3039,University of New England,2021,RUN,97.0,18.0,115.0,False,University of New England,3801.0
3013,University of New South Wales,2021,Go8,678.0,97.0,775.0,False,University of New South Wales,17248.0
3014,University of Newcastle,2021,ATN,331.0,15.0,346.0,False,University of Newcastle,7483.0
3027,University of South Australia,2021,ATN,137.0,34.0,171.0,False,University of South Australia,7981.0
2201,University of Southern Queensland,2021,RUN,116.0,19.0,135.0,False,University of Southern Queensland,4152.0
3045,University of Tasmania,2021,non-aligned,208.0,16.0,224.0,False,University of Tasmania,11176.0
3016,University of Technology Sydney,2021,ATN,359.0,26.0,385.0,False,University of Technology Sydney,8411.0
3043,University of the Sunshine Coast,2021,RUN,60.0,8.0,68.0,False,University of the Sunshine Coast,3156.0
1058,University of Wollongong,2021,non-aligned,256.0,33.0,289.0,False,University of Wollongong,8513.0
3007,Victoria University,2021,non-aligned,104.0,9.0,113.0,False,Victoria University,8333.0
3004,Western Sydney University,2021,IRU,198.0,89.0,287.0,False,Western Sydney University,8225.0
3006,Australian Catholic University,2020,non-aligned,45.0,8.0,53.0,False,Australian Catholic University,7243.0
2246,Batchelor Institute of Indigenous Tertiary Education,2020,non-aligned,2.0,2.0,4.0,True,Batchelor Institute of Indigenous Tertiary Education,5.0
3003,Bond University ,2020,non-aligned,18.0,2.0,20.0,True,Bond University ,1373.0
2200,Central Queensland University,2020,RUN,31.0,12.0,43.0,False,Central Queensland University,6075.0
3001,Charles Darwin University,2020,non-aligned,39.0,5.0,44.0,False,Charles Darwin University,2197.0
3005,Charles Sturt University,2020,RUN,74.0,2.0,76.0,True,Charles Sturt University,10377.0
2236,Curtin University,2020,ATN,301.0,47.0,348.0,False,Curtin University,9787.0
3030,Deakin University,2020,ATN,229.0,18.0,247.0,False,Deakin University,13693.0
2235,Edith Cowan University,2020,non-aligned,82.0,32.0,114.0,False,Edith Cowan University,6398.0
2154,Federation University Australia,2020,RUN,52.0,2.0,54.0,True,Federation University Australia,4407.0
3029,Flinders University,2020,IRU,159.0,11.0,170.0,False,Flinders University,4862.0
3032,Griffith University,2020,IRU,273.0,58.0,331.0,False,Griffith University,10107.0
1019,James Cook University,2020,IRU,105.0,8.0,113.0,False,James Cook University,4836.0
3020,La Trobe University,2020,IRU,172.0,17.0,189.0,False,La Trobe University,9229.0
3025,Macquarie University,2020,non-aligned,258.0,197.0,455.0,False,Macquarie University,9084.0
3035,Monash University,2020,Go8,770.0,73.0,843.0,False,Monash University,23891.0
1034,Murdoch University,2020,IRU,94.0,15.0,109.0,False,Murdoch University,5140.0
3042,Queensland University of Technology,2020,non-aligned,333.0,97.0,430.0,False,Queensland University of Technology,10943.0
3034,Royal Melbourne Institute of Technology,2020,ATN,334.0,21.0,355.0,False,Royal Melbourne Institute of Technology,18647.0
3038,Southern Cross University,2020,RUN,34.0,5.0,39.0,False,Southern Cross University,3024.0
2177,Swinburne University of Technology,2020,non-aligned,145.0,24.0,169.0,False,Swinburne University of Technology,8116.0
3033,The Australian National University,2020,Go8,309.0,32.0,341.0,False,The Australian National University,7280.0
3010,The University of Adelaide,2020,Go8,345.0,75.0,420.0,False,The University of Adelaide,6957.0
3036,The University of Melbourne,2020,Go8,804.0,97.0,901.0,False,The University of Melbourne,21078.0
3044,The University of Notre Dame Australia,2020,non-aligned,42.0,15.0,57.0,False,The University of Notre Dame Australia,2714.0
3019,The University of Queensland,2020,Go8,740.0,69.0,809.0,False,The University of Queensland,13133.0
3040,The University of Sydney,2020,Go8,589.0,142.0,731.0,False,The University of Sydney,16765.0
1055,The University of Western Australia,2020,Go8,284.0,27.0,311.0,False,The University of Western Australia,6267.0
4449,Torrens University Australia,2020,non-aligned,2.0,0.0,2.0,True,Torrens University Australia,5137.0
2241,University of Canberra,2020,IRU,35.0,7.0,42.0,False,University of Canberra,3920.0
4331,University of Divinity,2020,non-aligned,5.0,2.0,7.0,True,University of Divinity,443.0
3039,University of New England,2020,RUN,86.0,16.0,102.0,False,University of New England,3652.0
3013,University of New South Wales,2020,Go8,546.0,116.0,662.0,False,University of New South Wales,15491.0
3014,University of Newcastle,2020,ATN,281.0,16.0,297.0,False,University of Newcastle,7526.0
3027,University of South Australia,2020,ATN,129.0,26.0,155.0,False,University of South Australia,7392.0
2201,University of Southern Queensland,2020,RUN,103.0,11.0,114.0,False,University of Southern Queensland,4193.0
3045,University of Tasmania,2020,non-aligned,226.0,12.0,238.0,False,University of Tasmania,10043.0
3016,University of Technology Sydney,2020,ATN,306.0,25.0,331.0,False,University of Technology Sydney,11960.0
3043,University of the Sunshine Coast,2020,RUN,46.0,7.0,53.0,False,University of the Sunshine Coast,2952.0
1058,University of Wollongong,2020,non-aligned,213.0,32.0,245.0,False,University of Wollongong,8271.0
3007,Victoria University,2020,non-aligned,104.0,17.0,121.0,False,Victoria University,7657.0
3004,Western Sydney University,2020,IRU,132.0,93.0,225.0,False,Western Sydney University,8597.0
3006,Australian Catholic University,2019,non-aligned,53.0,7.0,60.0,False,Australian Catholic University,8236.0
2246,Batchelor Institute of Indigenous Tertiary Education,2019,non-aligned,2.0,0.0,2.0,True,Batchelor Institute of Indigenous Tertiary Education,2.0
3003,Bond University ,2019,non-aligned,22.0,2.0,24.0,True,Bond University ,1898.0
2200,Central Queensland University,2019,RUN,37.0,11.0,48.0,False,Central Queensland University,5523.0
3001,Charles Darwin University,2019,non-aligned,40.0,8.0,48.0,False,Charles Darwin University,1824.0
3005,Charles Sturt University,2019,RUN,69.0,2.0,71.0,True,Charles Sturt University,9488.0
2236,Curtin University,2019,ATN,282.0,43.0,325.0,False,Curtin University,9751.0
3030,Deakin University,2019,ATN,243.0,22.0,265.0,False,Deakin University,13227.0
2235,Edith Cowan University,2019,non-aligned,70.0,38.0,108.0,False,Edith Cowan University,5747.0
2154,Federation University Australia,2019,RUN,32.0,8.0,40.0,False,Federation University Australia,3418.0
3029,Flinders University,2019,IRU,170.0,11.0,181.0,False,Flinders University,6508.0
3032,Griffith University,2019,IRU,299.0,58.0,357.0,False,Griffith University,10043.0
1019,James Cook University,2019,IRU,125.0,5.0,130.0,False,James Cook University,4817.0
3020,La Trobe University,2019,IRU,218.0,12.0,230.0,False,La Trobe University,9022.0
3025,Macquarie University,2019,non-aligned,287.0,274.0,561.0,False,Macquarie University,9979.0
3035,Monash University,2019,Go8,791.0,65.0,856.0,False,Monash University,23758.0
1034,Murdoch University,2019,IRU,89.0,14.0,103.0,False,Murdoch University,4651.0
3042,Queensland University of Technology,2019,non-aligned,335.0,91.0,426.0,False,Queensland University of Technology,11935.0
3034,Royal Melbourne Institute of Technology,2019,ATN,326.0,31.0,357.0,False,Royal Melbourne Institute of Technology,19413.0
3038,Southern Cross University,2019,RUN,33.0,2.0,35.0,True,Southern Cross University,3554.0
2177,Swinburne University of Technology,2019,non-aligned,171.0,19.0,190.0,False,Swinburne University of Technology,7556.0
3033,The Australian National University,2019,Go8,371.0,33.0,404.0,False,The Australian National University,7721.0
3010,The University of Adelaide,2019,Go8,330.0,72.0,402.0,False,The University of Adelaide,6724.0
3036,The University of Melbourne,2019,Go8,854.0,112.0,966.0,False,The University of Melbourne,22390.0
3044,The University of Notre Dame Australia,2019,non-aligned,19.0,23.0,42.0,False,The University of Notre Dame Australia,2272.0
3019,The University of Queensland,2019,Go8,765.0,74.0,839.0,False,The University of Queensland,13865.0
3040,The University of Sydney,2019,Go8,698.0,158.0,856.0,False,The University of Sydney,17766.0
1055,The University of Western Australia,2019,Go8,285.0,40.0,325.0,False,The University of Western Australia,6827.0
4449,Torrens University Australia,2019,non-aligned,2.0,0.0,2.0,True,Torrens University Australia,2910.0
2241,University of Canberra,2019,IRU,59.0,2.0,61.0,True,University of Canberra,3643.0
4331,University of Divinity,2019,non-aligned,18.0,2.0,20.0,True,University of Divinity,631.0
3039,University of New England,2019,RUN,80.0,13.0,93.0,False,University of New England,3854.0
3013,University of New South Wales,2019,Go8,705.0,127.0,832.0,False,University of New South Wales,16200.0
3014,University of Newcastle,2019,ATN,242.0,10.0,252.0,False,University of Newcastle,6657.0
3027,University of South Australia,2019,ATN,120.0,17.0,137.0,False,University of South Australia,6986.0
2201,University of Southern Queensland,2019,RUN,91.0,13.0,104.0,False,University of Southern Queensland,3681.0
3045,University of Tasmania,2019,non-aligned,256.0,21.0,277.0,False,University of Tasmania,10126.0
3016,University of Technology Sydney,2019,ATN,292.0,25.0,317.0,False,University of Technology Sydney,11964.0
3043,University of the Sunshine Coast,2019,RUN,77.0,10.0,87.0,False,University of the Sunshine Coast,3080.0
1058,University of Wollongong,2019,non-aligned,235.0,38.0,273.0,False,University of Wollongong,7746.0
3007,Victoria University,2019,non-aligned,96.0,11.0,107.0,False,Victoria University,7039.0
3004,Western Sydney University,2019,IRU,146.0,87.0,233.0,False,Western Sydney University,9512.0
3006,Australian Catholic University,2018,non-aligned,70.0,10.0,80.0,False,Australian Catholic University,7358.0
2246,Batchelor Institute of Indigenous Tertiary Education,2018,non-aligned,0.0,2.0,2.0,True,Batchelor Institute of Indigenous Tertiary Education,
3003,Bond University ,2018,non-aligned,25.0,2.0,27.0,True,Bond University ,1728.0
2200,Central Queensland University,2018,RUN,35.0,13.0,48.0,False,Central Queensland University,4275.0
3001,Charles Darwin University,2018,non-aligned,26.0,7.0,33.0,False,Charles Darwin University,1708.0
3005,Charles Sturt University,2018,RUN,77.0,2.0,79.0,True,Charles Sturt University,9534.0
2236,Curtin University,2018,ATN,279.0,30.0,309.0,False,Curtin University,9451.0
3030,Deakin University,2018,ATN,193.0,16.0,209.0,False,Deakin University,11973.0
2235,Edith Cowan University,2018,non-aligned,78.0,36.0,114.0,False,Edith Cowan University,5774.0
2154,Federation University Australia,2018,RUN,35.0,9.0,44.0,False,Federation University Australia,2785.0
3029,Flinders University,2018,IRU,175.0,8.0,183.0,False,Flinders University,5998.0
3032,Griffith University,2018,IRU,286.0,44.0,330.0,False,Griffith University,10204.0
1019,James Cook University,2018,IRU,103.0,5.0,108.0,False,James Cook University,4655.0
3020,La Trobe University,2018,IRU,219.0,15.0,234.0,False,La Trobe University,9087.0
3025,Macquarie University,2018,non-aligned,288.0,268.0,556.0,False,Macquarie University,10066.0
3035,Monash University,2018,Go8,805.0,77.0,882.0,False,Monash University,21862.0
1034,Murdoch University,2018,IRU,100.0,15.0,115.0,False,Murdoch University,4852.0
3042,Queensland University of Technology,2018,non-aligned,322.0,115.0,437.0,False,Queensland University of Technology,11588.0
3034,Royal Melbourne Institute of Technology,2018,ATN,260.0,36.0,296.0,False,Royal Melbourne Institute of Technology,18737.0
3038,Southern Cross University,2018,RUN,38.0,8.0,46.0,False,Southern Cross University,3078.0
2177,Swinburne University of Technology,2018,non-aligned,159.0,26.0,185.0,False,Swinburne University of Technology,7465.0
3033,The Australian National University,2018,Go8,361.0,32.0,393.0,False,The Australian National University,7534.0
3010,The University of Adelaide,2018,Go8,339.0,61.0,400.0,False,The University of Adelaide,7009.0
3036,The University of Melbourne,2018,Go8,873.0,148.0,1021.0,False,The University of Melbourne,21388.0
3044,The University of Notre Dame Australia,2018,non-aligned,31.0,29.0,60.0,False,The University of Notre Dame Australia,3075.0
3019,The University of Queensland,2018,Go8,579.0,69.0,648.0,False,The University of Queensland,12982.0
3040,The University of Sydney,2018,Go8,315.0,88.0,403.0,False,The University of Sydney,16549.0
1055,The University of Western Australia,2018,Go8,287.0,51.0,338.0,False,The University of Western Australia,6814.0
4449,Torrens University Australia,2018,non-aligned,2.0,2.0,4.0,True,Torrens University Australia,2826.0
2241,University of Canberra,2018,IRU,66.0,8.0,74.0,False,University of Canberra,3610.0
4331,University of Divinity,2018,non-aligned,9.0,2.0,11.0,True,University of Divinity,532.0
3039,University of New England,2018,RUN,76.0,10.0,86.0,False,University of New England,3630.0
3013,University of New South Wales,2018,Go8,663.0,97.0,760.0,False,University of New South Wales,15244.0
3014,University of Newcastle,2018,ATN,253.0,13.0,266.0,False,University of Newcastle,6467.0
3027,University of South Australia,2018,ATN,144.0,15.0,159.0,False,University of South Australia,7180.0
2201,University of Southern Queensland,2018,RUN,79.0,5.0,84.0,False,University of Southern Queensland,4003.0
3045,University of Tasmania,2018,non-aligned,204.0,21.0,225.0,False,University of Tasmania,9751.0
3016,University of Technology Sydney,2018,ATN,251.0,35.0,286.0,False,University of Technology Sydney,11337.0
3043,University of the Sunshine Coast,2018,RUN,57.0,12.0,69.0,False,University of the Sunshine Coast,3035.0
1058,University of Wollongong,2018,non-aligned,239.0,52.0,291.0,False,University of Wollongong,7695.0
3007,Victoria University,2018,non-aligned,91.0,12.0,103.0,False,Victoria University,6676.0
